date,MAB_ELE_PRO156,MAB_ELE_SHP156,MAB_ELE_SHP250,MAB_ELE_PRO392,MAB_ELE_SHP392,MAB_ELE_PRO756,MAB_ELE_SHP756,MAB_ELE_PRO826,MAB_ELE_SHP826,MAB_ELE_SHP840,RohiMETMIN1000_org,RohCOPPER1000_org,WKLWEUR840_org,PRI27840_org,PRI27380_org,PRI27250_org,PRI27276_org,PRO28756_org,PRO28392_org,PRO271000_org,PRO27756_org,PRO27826_org,PRO27392_org,PRO27276_org
2009-04-01,74.09149622613772,74.09149622613772,96.4278621908344,69.37510087603349,64.87944934945526,98.78307492463784,99.39645841755085,96.51780864843138,83.90688719219261,99.0551743280444,56.739324405491246,58.48279901574206,1.319000005722046,97.4488525390625,97.3900909423828,99.20371254926266,99.12311553955078,101.86308371131,65.63493802903167,96.5814739560014,93.47945227310832,114.35984432691346,77.00133148556205,78.59046173095703
2009-05-01,74.09149622613776,74.09149622613776,88.62144567768121,67.53193952037647,64.37234366491458,97.76839412780603,98.38918207633748,89.30647527967407,83.57833635135695,98.09462383861036,59.42764848750404,60.633917017369065,1.3650000095367432,97.74034118652344,97.3900909423828,99.23692813962418,99.12311553955078,100.32532746429196,64.08243222849256,95.92220755906996,93.36548150608922,105.3787047200878,74.56552045609564,76.4245834350586
2009-06-01,81.58876029120981,81.58876029120981,109.5950770560959,80.83707493310231,77.97146933698419,96.89234537829606,97.50918802864588,102.80806993123714,83.47648161758704,97.28693017440256,65.56631045343055,66.54414962702681,1.401600003242493,97.63607025146484,97.70223999023438,99.27201253162704,99.01788330078124,98.9409854263966,75.83760314398488,95.41889225019888,93.36468863557748,119.26953397864484,91.031049460229,82.9222183227539
2009-07-01,81.5887602912098,81.5887602912098,92.90073694497556,76.81830971055008,74.85751134144488,96.17403108414402,96.77669265558164,95.42987653596846,83.61458072862996,96.64717305918596,69.66553685380923,69.21958289976521,1.4088000059127808,97.77440643310548,97.49414825439452,99.31034247288127,99.22834777832033,97.73906775446451,70.61010168998895,95.07713159600922,93.47911541666168,111.48587965272924,89.47690987676398,87.66651916503906
2009-08-01,81.58876029120997,81.58876029120997,73.65522637049574,69.89813710986442,71.8579287238052,95.62588354149337,96.20532841926936,85.13507771115857,83.99597036538094,96.18425152358893,81.62767897715733,81.82455680106989,1.426800012588501,98.24615478515624,97.91033935546876,99.35317558469394,99.12311553955078,96.74175429840824,67.34976184473472,94.89645631700006,93.70440934045794,101.42700329308452,75.0943005515383,77.4559555053711
2009-09-01,85.95397944079184,85.95397944079184,102.87841146464726,86.95355943367612,92.02176499772308,95.25357530441477,95.8020017224454,99.16655226282998,84.61403375188478,95.90094735481634,77.94030774341823,82.23773411642046,1.4562000036239624,98.43946075439452,98.11843872070312,99.40163969500829,99.33357238769533,95.96383910499004,82.87496105762061,94.8708605016641,94.03053620219112,119.03003692246284,95.26986357652432,94.7829818725586
2009-10-01,85.95397944079191,85.95397944079191,101.4554789228652,78.51540075563305,78.75373651276074,95.05633683744944,95.56716210869536,96.46382213486328,85.4527710807998,95.79434914436484,80.52635177315251,83.45269998221028,1.481600046157837,98.5391082763672,98.22248840332033,99.45674048487528,99.33357238769533,95.41259685191852,74.65760271447873,94.9896035966422,94.44287472956567,113.28210757409438,86.3814907389648,96.3300323486328
2009-11-01,85.9539794407919,85.9539794407919,93.24660787913244,81.95831705654524,82.63569586247672,95.02760779965595,95.49541052124408,97.2927501594281,86.4879157232735,95.8565826460145,84.69645851050852,88.5970840443187,1.4914000034332275,98.84520721435548,98.11843872070312,99.51938089492435,99.33357238769533,95.08802471124594,79.05445108086981,95.23818293892404,94.92357286890166,113.76110168645845,87.87932972245544,94.98925018310548
2009-12-01,75.10264160112864,75.10264160112864,105.02337012710268,90.08949303152755,89.40866580731577,95.15592462925687,95.5763497856168,89.71443967563648,87.68850172040635,96.0757750151669,90.293362199302,92.65983062654288,1.461400032043457,98.8926773071289,98.53463745117188,99.59038362762556,99.33357238769533,94.98338482854908,88.68797938841267,95.59938269006014,95.45302962430884,100.22951801217444,92.9471938007234,81.06575775146484
2010-01-01,68.99174320988546,68.99174320988546,86.56390524104958,78.29928539951135,77.69073370230339,95.42593857652702,95.79557132015576,79.56907278107575,89.01876004313266,96.43716812912707,96.5767368804507,98.02874680419484,1.4271999597549438,99.08361053466795,99.0548858642578,99.67050755702908,99.64924621582033,95.08595906746164,76.29836319920877,96.05431637771858,96.0113664600894,80.59075940524897,82.37918639726202,79.31242370605469
2010-02-01,68.99174320988546,68.99174320988546,91.36399411281928,89.17635659982248,91.32636432156808,95.819464431988,96.13567785138554,87.50833238576658,90.44020379660807,96.92428976397905,91.1065927432961,90.88752928019184,1.3686000108718872,99.36457824707033,99.15892791748048,99.76045005885314,99.64924621582033,95.37792905019892,87.36225282437054,96.58339806478725,96.57976650074878,91.24837840534876,92.87533290303428,86.84142303466797
2010-03-01,99.29836918297424,99.29836918297424,110.75118646166248,115.04983149108322,119.0280405223806,96.3164779674289,96.57725969092992,109.6052266459388,91.913756280434,97.52009127347816,99.4167834199885,99.04504726996272,1.356899976730347,99.4318389892578,99.47108459472656,99.86083004018616,99.75447082519533,95.83730807812336,110.10506131788368,97.16719740017948,97.1415847949966,110.04889731563716,125.13226885932976,103.3433609008789
2010-04-01,99.29836918297426,99.29836918297426,98.13639393523168,91.00005812690374,88.854014800226,96.89600495622037,97.09976728740584,92.98643785412668,93.4017802380914,98.2079669963811,108.1454582642239,102.79099626393628,1.3406000137329102,99.79752349853516,99.47108459472656,99.97215033846508,99.75447082519533,96.43887243154768,90.71105916505772,97.7871529771984,97.68316453287356,90.17064165252968,91.58932998995078,93.7516098022461
2010-05-01,99.2983691829742,99.2983691829742,92.36484738926136,86.86312173720097,83.39892144975495,97.53687138073768,97.68225002419848,93.31874304059473,94.86988082824952,98.97258409089828,96.016366550206,90.74829494846426,1.256500005722046,100.00531005859376,99.7832260131836,100.0947425195969,99.96492004394533,97.15506218754842,86.2469254274395,98.42613419582118,98.19432790953825,93.88284602335096,88.11955236635085,94.37042999267578
